UserID,Timestamp,ExpType,BlockIndex,TargetIndex,PhaseRadius,TargetVisualAngular,Result,SelectionTime
1,2025-06-18 11:28:05.157,Gaze_Task1,1,1,40,1.5,False,3
1,2025-06-18 11:28:07.774,Gaze_Task1,1,2,40,1.5,True,0.6
1,2025-06-18 11:28:12.785,Gaze_Task1,1,3,40,1.5,False,3
1,2025-06-18 11:28:15.401,Gaze_Task1,1,4,40,1.5,True,0.6
1,2025-06-18 11:28:20.413,Gaze_Task1,1,5,40,1.5,False,3
1,2025-06-18 11:28:23.030,Gaze_Task1,1,6,40,1.5,True,0.6
1,2025-06-18 11:28:27.276,Gaze_Task1,1,7,40,1.5,True,0.6
1,2025-06-18 11:28:32.285,Gaze_Task1,1,8,40,1.5,False,3
1,2025-06-18 11:28:35.280,Gaze_Task1,1,9,40,1.5,True,0.6
1,2025-06-18 11:28:40.290,Gaze_Task1,1,10,40,1.5,False,3
1,2025-06-18 11:28:42.908,Gaze_Task1,1,11,40,1.5,True,0.6
1,2025-06-18 11:28:49.603,Gaze_Task1,2,1,30,1,False,3
1,2025-06-18 11:28:53.195,Gaze_Task1,2,2,30,1,True,0.6
1,2025-06-18 11:28:58.206,Gaze_Task1,2,3,30,1,False,3
1,2025-06-18 11:29:03.217,Gaze_Task1,2,4,30,1,False,3
1,2025-06-18 11:29:08.227,Gaze_Task1,2,5,30,1,False,3
1,2025-06-18 11:29:13.238,Gaze_Task1,2,6,30,1,False,3
1,2025-06-18 11:29:18.250,Gaze_Task1,2,7,30,1,False,3
1,2025-06-18 11:29:23.261,Gaze_Task1,2,8,30,1,False,3
1,2025-06-18 11:29:28.272,Gaze_Task1,2,9,30,1,False,3
1,2025-06-18 11:29:33.283,Gaze_Task1,2,10,30,1,False,3
1,2025-06-18 11:29:38.295,Gaze_Task1,2,11,30,1,False,3
1,2025-06-18 11:29:45.603,Gaze_Task1,3,1,20,1.5,False,3
1,2025-06-18 11:29:49.473,Gaze_Task1,3,2,20,1.5,True,0.6
1,2025-06-18 11:29:53.593,Gaze_Task1,3,3,20,1.5,True,0.6
1,2025-06-18 11:29:58.603,Gaze_Task1,3,4,20,1.5,False,3
1,2025-06-18 11:30:01.222,Gaze_Task1,3,5,20,1.5,True,0.6
1,2025-06-18 11:30:06.233,Gaze_Task1,3,6,20,1.5,False,3
1,2025-06-18 11:30:08.850,Gaze_Task1,3,7,20,1.5,True,0.6
1,2025-06-18 11:30:12.413,Gaze_Task1,3,8,20,1.5,True,0.6
1,2025-06-18 11:30:16.395,Gaze_Task1,3,9,20,1.5,True,0.6
1,2025-06-18 11:30:19.012,Gaze_Task1,3,10,20,1.5,True,0.6
1,2025-06-18 11:30:22.241,Gaze_Task1,3,11,20,1.5,True,0.6
1,2025-06-18 11:30:27.781,Gaze_Task1,4,1,20,2,True,0.6
1,2025-06-18 11:30:30.398,Gaze_Task1,4,2,20,2,True,0.6
1,2025-06-18 11:30:34.366,Gaze_Task1,4,3,20,2,True,0.6
1,2025-06-18 11:30:36.982,Gaze_Task1,4,4,20,2,True,0.6
1,2025-06-18 11:30:39.975,Gaze_Task1,4,5,20,2,True,0.6
1,2025-06-18 11:30:42.591,Gaze_Task1,4,6,20,2,True,0.6
1,2025-06-18 11:30:45.195,Gaze_Task1,4,7,20,2,True,0.6
1,2025-06-18 11:30:47.811,Gaze_Task1,4,8,20,2,True,0.6
1,2025-06-18 11:30:52.809,Gaze_Task1,4,9,20,2,False,3
1,2025-06-18 11:30:55.425,Gaze_Task1,4,10,20,2,True,0.6
1,2025-06-18 11:30:58.028,Gaze_Task1,4,11,20,2,True,0.6
1,2025-06-18 11:31:04.502,Gaze_Task1,5,1,40,1,False,3
1,2025-06-18 11:31:09.513,Gaze_Task1,5,2,40,1,False,3
1,2025-06-18 11:31:14.524,Gaze_Task1,5,3,40,1,False,3
1,2025-06-18 11:31:17.280,Gaze_Task1,5,4,40,1,True,0.6
1,2025-06-18 11:31:22.292,Gaze_Task1,5,5,40,1,False,3
1,2025-06-18 11:31:24.979,Gaze_Task1,5,6,40,1,True,0.6
1,2025-06-18 11:31:29.989,Gaze_Task1,5,7,40,1,False,3
1,2025-06-18 11:31:35.001,Gaze_Task1,5,8,40,1,False,3
1,2025-06-18 11:31:40.011,Gaze_Task1,5,9,40,1,False,3
1,2025-06-18 11:31:45.023,Gaze_Task1,5,10,40,1,False,3
1,2025-06-18 11:31:50.034,Gaze_Task1,5,11,40,1,False,3
1,2025-06-18 11:31:56.423,Gaze_Task1,6,1,30,2,False,3
1,2025-06-18 11:31:59.040,Gaze_Task1,6,2,30,2,True,0.6
1,2025-06-18 11:32:01.838,Gaze_Task1,6,3,30,2,True,0.6
1,2025-06-18 11:32:04.455,Gaze_Task1,6,4,30,2,True,0.6
1,2025-06-18 11:32:08.033,Gaze_Task1,6,5,30,2,True,0.6
1,2025-06-18 11:32:10.636,Gaze_Task1,6,6,30,2,True,0.6
1,2025-06-18 11:32:13.253,Gaze_Task1,6,7,30,2,True,0.6
1,2025-06-18 11:32:16.106,Gaze_Task1,6,8,30,2,True,0.6
1,2025-06-18 11:32:18.710,Gaze_Task1,6,9,30,2,True,0.6
1,2025-06-18 11:32:21.312,Gaze_Task1,6,10,30,2,True,0.6
1,2025-06-18 11:32:24.820,Gaze_Task1,6,11,30,2,True,0.6
1,2025-06-18 11:32:30.542,Gaze_Task1,7,1,40,2,True,0.6
1,2025-06-18 11:32:33.159,Gaze_Task1,7,2,40,2,True,0.6
1,2025-06-18 11:32:35.776,Gaze_Task1,7,3,40,2,True,0.6
1,2025-06-18 11:32:38.406,Gaze_Task1,7,4,40,2,True,0.6
1,2025-06-18 11:32:43.152,Gaze_Task1,7,5,40,2,True,0.6
1,2025-06-18 11:32:45.756,Gaze_Task1,7,6,40,2,True,0.6
1,2025-06-18 11:32:48.372,Gaze_Task1,7,7,40,2,True,0.6
1,2025-06-18 11:32:50.977,Gaze_Task1,7,8,40,2,True,0.6
1,2025-06-18 11:32:54.484,Gaze_Task1,7,9,40,2,True,0.6
1,2025-06-18 11:32:59.495,Gaze_Task1,7,10,40,2,False,3
1,2025-06-18 11:33:02.112,Gaze_Task1,7,11,40,2,True,0.6
1,2025-06-18 11:34:46.846,Gaze_Task1,8,1,30,1.5,False,3
1,2025-06-18 11:34:50.312,Gaze_Task1,8,2,30,1.5,True,0.6
1,2025-06-18 11:34:53.402,Gaze_Task1,8,3,30,1.5,True,0.6
1,2025-06-18 11:34:58.413,Gaze_Task1,8,4,30,1.5,False,3
1,2025-06-18 11:35:01.837,Gaze_Task1,8,5,30,1.5,True,0.6
1,2025-06-18 11:35:04.453,Gaze_Task1,8,6,30,1.5,True,0.6
1,2025-06-18 11:35:09.465,Gaze_Task1,8,7,30,1.5,False,3
1,2025-06-18 11:35:14.476,Gaze_Task1,8,8,30,1.5,False,3
1,2025-06-18 11:35:19.487,Gaze_Task1,8,9,30,1.5,False,3
1,2025-06-18 11:35:24.500,Gaze_Task1,8,10,30,1.5,False,3
1,2025-06-18 11:35:27.116,Gaze_Task1,8,11,30,1.5,True,0.6
1,2025-06-18 11:35:34.898,Gaze_Task1,9,1,20,1,False,3
1,2025-06-18 11:35:39.004,Gaze_Task1,9,2,20,1,True,0.6
1,2025-06-18 11:35:44.015,Gaze_Task1,9,3,20,1,False,3
1,2025-06-18 11:35:49.026,Gaze_Task1,9,4,20,1,False,3
1,2025-06-18 11:35:54.037,Gaze_Task1,9,5,20,1,False,3
1,2025-06-18 11:35:56.655,Gaze_Task1,9,6,20,1,True,0.6
1,2025-06-18 11:36:01.666,Gaze_Task1,9,7,20,1,False,3
1,2025-06-18 11:36:06.677,Gaze_Task1,9,8,20,1,False,3
