UserID,Timestamp,ExpType,BlockIndex,TargetIndex,PhaseRadius,TargetVisualAngular,Result,SelectionTime
1,2025-06-20 14:59:26.081,Gaze_Task1,1,1,30,2,False,3
1,2025-06-20 14:59:28.698,Gaze_Task1,1,2,30,2,True,0.6
1,2025-06-20 14:59:31.928,Gaze_Task1,1,3,30,2,True,0.6
1,2025-06-20 14:59:34.754,Gaze_Task1,1,4,30,2,True,0.6
1,2025-06-20 14:59:37.371,Gaze_Task1,1,5,30,2,True,0.6
1,2025-06-20 14:59:41.311,Gaze_Task1,1,6,30,2,True,0.6
1,2025-06-20 14:59:45.168,Gaze_Task1,1,7,30,2,True,0.6
1,2025-06-20 14:59:48.259,Gaze_Task1,1,8,30,2,True,0.6
1,2025-06-20 14:59:51.377,Gaze_Task1,1,9,30,2,True,0.6
1,2025-06-20 14:59:54.134,Gaze_Task1,1,10,30,2,True,0.6
1,2025-06-20 14:59:57.002,Gaze_Task1,1,11,30,2,True,0.6
1,2025-06-20 15:00:03.043,Gaze_Task1,2,1,30,1.5,True,0.6
1,2025-06-20 15:00:05.702,Gaze_Task1,2,2,30,1.5,True,0.6
1,2025-06-20 15:00:10.714,Gaze_Task1,2,3,30,1.5,False,3
1,2025-06-20 15:00:13.401,Gaze_Task1,2,4,30,1.5,True,0.6
1,2025-06-20 15:00:16.658,Gaze_Task1,2,5,30,1.5,True,0.6
1,2025-06-20 15:00:19.611,Gaze_Task1,2,6,30,1.5,True,0.6
1,2025-06-20 15:00:23.105,Gaze_Task1,2,7,30,1.5,True,0.6
1,2025-06-20 15:00:27.115,Gaze_Task1,2,8,30,1.5,True,0.6
1,2025-06-20 15:00:30.205,Gaze_Task1,2,9,30,1.5,True,0.6
1,2025-06-20 15:00:33.964,Gaze_Task1,2,10,30,1.5,True,0.6
1,2025-06-20 15:00:37.138,Gaze_Task1,2,11,30,1.5,True,0.6
1,2025-06-20 15:00:44.043,Gaze_Task1,3,1,40,1.5,False,3
1,2025-06-20 15:00:49.056,Gaze_Task1,3,2,40,1.5,False,3
1,2025-06-20 15:00:54.068,Gaze_Task1,3,3,40,1.5,False,3
1,2025-06-20 15:00:59.079,Gaze_Task1,3,4,40,1.5,False,3
1,2025-06-20 15:01:04.091,Gaze_Task1,3,5,40,1.5,False,3
1,2025-06-20 15:01:07.114,Gaze_Task1,3,6,40,1.5,True,0.6
1,2025-06-20 15:01:12.123,Gaze_Task1,3,7,40,1.5,False,3
1,2025-06-20 15:01:16.636,Gaze_Task1,3,8,40,1.5,True,0.6
1,2025-06-20 15:01:19.879,Gaze_Task1,3,9,40,1.5,True,0.6
1,2025-06-20 15:01:24.877,Gaze_Task1,3,10,40,1.5,False,3
1,2025-06-20 15:01:28.970,Gaze_Task1,3,11,40,1.5,True,0.6
1,2025-06-20 15:01:36.418,Gaze_Task1,4,1,40,1,False,3
1,2025-06-20 15:01:41.430,Gaze_Task1,4,2,40,1,False,3
1,2025-06-20 15:01:45.329,Gaze_Task1,4,3,40,1,True,0.6
1,2025-06-20 15:01:50.340,Gaze_Task1,4,4,40,1,False,3
1,2025-06-20 15:01:55.353,Gaze_Task1,4,5,40,1,False,3
1,2025-06-20 15:02:00.364,Gaze_Task1,4,6,40,1,False,3
1,2025-06-20 15:02:05.377,Gaze_Task1,4,7,40,1,False,3
1,2025-06-20 15:02:10.389,Gaze_Task1,4,8,40,1,False,3
1,2025-06-20 15:02:15.400,Gaze_Task1,4,9,40,1,False,3
1,2025-06-20 15:02:20.412,Gaze_Task1,4,10,40,1,False,3
1,2025-06-20 15:02:24.296,Gaze_Task1,4,11,40,1,True,0.6
1,2025-06-20 15:02:29.128,Gaze_Task1,5,1,40,2,True,0.6
1,2025-06-20 15:02:31.745,Gaze_Task1,5,2,40,2,True,0.6
1,2025-06-20 15:02:35.838,Gaze_Task1,5,3,40,2,True,0.6
1,2025-06-20 15:02:39.068,Gaze_Task1,5,4,40,2,True,0.6
1,2025-06-20 15:02:41.685,Gaze_Task1,5,5,40,2,True,0.6
1,2025-06-20 15:02:44.303,Gaze_Task1,5,6,40,2,True,0.6
1,2025-06-20 15:02:47.462,Gaze_Task1,5,7,40,2,True,0.6
1,2025-06-20 15:02:50.079,Gaze_Task1,5,8,40,2,True,0.6
1,2025-06-20 15:02:53.936,Gaze_Task1,5,9,40,2,True,0.6
1,2025-06-20 15:02:56.539,Gaze_Task1,5,10,40,2,True,0.6
1,2025-06-20 15:02:59.534,Gaze_Task1,5,11,40,2,True,0.6
1,2025-06-20 15:03:04.225,Gaze_Task1,6,1,20,1.5,True,0.6
1,2025-06-20 15:03:06.926,Gaze_Task1,6,2,20,1.5,True,0.6
1,2025-06-20 15:03:09.598,Gaze_Task1,6,3,20,1.5,True,0.6
1,2025-06-20 15:03:13.232,Gaze_Task1,6,4,20,1.5,True,0.6
1,2025-06-20 15:03:16.964,Gaze_Task1,6,5,20,1.5,True,0.6
1,2025-06-20 15:03:19.581,Gaze_Task1,6,6,20,1.5,True,0.6
1,2025-06-20 15:03:22.268,Gaze_Task1,6,7,20,1.5,True,0.6
