UserID,Timestamp,ExpType,BlockIndex,TargetIndex,PhaseRadius,TargetVisualAngular,Result
2,2025-06-13 17:57:11.158,Gaze_Task1,1,1,20,2,True
2,2025-06-13 17:57:16.156,Gaze_Task1,1,2,20,2,False
2,2025-06-13 17:57:20.473,Gaze_Task1,1,3,20,2,True
2,2025-06-13 17:57:23.882,Gaze_Task1,1,4,20,2,True
2,2025-06-13 17:57:28.895,Gaze_Task1,1,5,20,2,False
2,2025-06-13 17:57:31.512,Gaze_Task1,1,6,20,2,True
2,2025-06-13 17:57:34.130,Gaze_Task1,1,7,20,2,True
2,2025-06-13 17:57:36.747,Gaze_Task1,1,8,20,2,True
2,2025-06-13 17:57:41.076,Gaze_Task1,1,9,20,2,True
2,2025-06-13 17:57:43.861,Gaze_Task1,1,10,20,2,True
2,2025-06-13 17:57:48.859,Gaze_Task1,1,11,20,2,False
2,2025-06-13 17:57:56.796,Gaze_Task1,2,1,20,1,False
2,2025-06-13 17:58:01.807,Gaze_Task1,2,2,20,1,False
2,2025-06-13 17:58:04.968,Gaze_Task1,2,3,20,1,True
2,2025-06-13 17:58:09.658,Gaze_Task1,2,4,20,1,True
2,2025-06-13 17:58:14.656,Gaze_Task1,2,5,20,1,False
2,2025-06-13 17:58:17.276,Gaze_Task1,2,6,20,1,True
2,2025-06-13 17:58:22.272,Gaze_Task1,2,7,20,1,False
2,2025-06-13 17:58:26.309,Gaze_Task1,2,8,20,1,True
2,2025-06-13 17:58:31.321,Gaze_Task1,2,9,20,1,False
2,2025-06-13 17:58:36.334,Gaze_Task1,2,10,20,1,False
2,2025-06-13 17:58:41.346,Gaze_Task1,2,11,20,1,False
2,2025-06-13 17:58:48.237,Gaze_Task1,3,1,20,1.5,False
2,2025-06-13 17:58:50.868,Gaze_Task1,3,2,20,1.5,True
2,2025-06-13 17:58:53.485,Gaze_Task1,3,3,20,1.5,True
2,2025-06-13 17:58:56.381,Gaze_Task1,3,4,20,1.5,True
2,2025-06-13 17:58:59.472,Gaze_Task1,3,5,20,1.5,True
2,2025-06-13 17:59:02.090,Gaze_Task1,3,6,20,1.5,True
2,2025-06-13 17:59:04.707,Gaze_Task1,3,7,20,1.5,True
2,2025-06-13 17:59:09.718,Gaze_Task1,3,8,20,1.5,False
2,2025-06-13 17:59:14.730,Gaze_Task1,3,9,20,1.5,False
2,2025-06-13 17:59:19.743,Gaze_Task1,3,10,20,1.5,False
2,2025-06-13 17:59:24.753,Gaze_Task1,3,11,20,1.5,False
2,2025-06-13 17:59:31.103,Gaze_Task1,4,1,40,1,True
2,2025-06-13 17:59:36.117,Gaze_Task1,4,2,40,1,False
2,2025-06-13 17:59:40.041,Gaze_Task1,4,3,40,1,True
2,2025-06-13 17:59:45.038,Gaze_Task1,4,4,40,1,False
2,2025-06-13 17:59:50.051,Gaze_Task1,4,5,40,1,False
2,2025-06-13 17:59:52.668,Gaze_Task1,4,6,40,1,True
2,2025-06-13 17:59:57.680,Gaze_Task1,4,7,40,1,False
2,2025-06-13 18:00:01.773,Gaze_Task1,4,8,40,1,True
2,2025-06-13 18:00:06.785,Gaze_Task1,4,9,40,1,False
2,2025-06-13 18:00:09.403,Gaze_Task1,4,10,40,1,True
2,2025-06-13 18:00:14.414,Gaze_Task1,4,11,40,1,False
2,2025-06-13 18:00:19.135,Gaze_Task1,5,1,40,1.5,True
2,2025-06-13 18:00:23.129,Gaze_Task1,5,2,40,1.5,True
2,2025-06-13 18:00:27.808,Gaze_Task1,5,3,40,1.5,True
2,2025-06-13 18:00:32.178,Gaze_Task1,5,4,40,1.5,True
2,2025-06-13 18:00:34.880,Gaze_Task1,5,5,40,1.5,True
2,2025-06-13 18:00:37.484,Gaze_Task1,5,6,40,1.5,True
2,2025-06-13 18:00:42.495,Gaze_Task1,5,7,40,1.5,False
2,2025-06-13 18:00:45.906,Gaze_Task1,5,8,40,1.5,True
2,2025-06-13 18:00:50.278,Gaze_Task1,5,9,40,1.5,True
2,2025-06-13 18:00:53.104,Gaze_Task1,5,10,40,1.5,True
2,2025-06-13 18:00:58.115,Gaze_Task1,5,11,40,1.5,False
2,2025-06-13 18:01:01.888,Gaze_Task1,6,1,30,2,True
2,2025-06-13 18:01:04.506,Gaze_Task1,6,2,30,2,True
2,2025-06-13 18:01:07.122,Gaze_Task1,6,3,30,2,True
2,2025-06-13 18:01:09.867,Gaze_Task1,6,4,30,2,True
2,2025-06-13 18:01:12.484,Gaze_Task1,6,5,30,2,True
2,2025-06-13 18:01:15.101,Gaze_Task1,6,6,30,2,True
2,2025-06-13 18:01:19.001,Gaze_Task1,6,7,30,2,True
2,2025-06-13 18:01:21.602,Gaze_Task1,6,8,30,2,True
2,2025-06-13 18:01:24.568,Gaze_Task1,6,9,30,2,True
2,2025-06-13 18:01:27.185,Gaze_Task1,6,10,30,2,True
2,2025-06-13 18:01:30.206,Gaze_Task1,6,11,30,2,True
2,2025-06-13 18:01:35.887,Gaze_Task1,7,1,30,1.5,True
2,2025-06-13 18:01:38.505,Gaze_Task1,7,2,30,1.5,True
2,2025-06-13 18:01:41.121,Gaze_Task1,7,3,30,1.5,True
2,2025-06-13 18:01:43.725,Gaze_Task1,7,4,30,1.5,True
2,2025-06-13 18:01:46.342,Gaze_Task1,7,5,30,1.5,True
2,2025-06-13 18:01:48.945,Gaze_Task1,7,6,30,1.5,True
2,2025-06-13 18:01:51.563,Gaze_Task1,7,7,30,1.5,True
2,2025-06-13 18:01:55.866,Gaze_Task1,7,8,30,1.5,True
2,2025-06-13 18:02:00.876,Gaze_Task1,7,9,30,1.5,False
2,2025-06-13 18:02:03.494,Gaze_Task1,7,10,30,1.5,True
2,2025-06-13 18:02:06.530,Gaze_Task1,7,11,30,1.5,True
2,2025-06-13 18:02:10.985,Gaze_Task1,8,1,40,2,True
2,2025-06-13 18:02:13.601,Gaze_Task1,8,2,40,2,True
2,2025-06-13 18:02:16.204,Gaze_Task1,8,3,40,2,True
2,2025-06-13 18:02:18.822,Gaze_Task1,8,4,40,2,True
2,2025-06-13 18:02:21.425,Gaze_Task1,8,5,40,2,True
2,2025-06-13 18:02:24.043,Gaze_Task1,8,6,40,2,True
2,2025-06-13 18:02:27.872,Gaze_Task1,8,7,40,2,True
2,2025-06-13 18:02:31.310,Gaze_Task1,8,8,40,2,True
